Data Point, Corr Factor, Length Scale, AmbPress, AmbTemp, Density, Viscosity, Motor Speed, Angle of Attack, Corrected q, Avg Velocity, Reynolds number, Axial Force,Normal Force, Pitching Mom
#, ND, [in], [psia], [R], [slug/ft3], [slug/ft s], [RPM], [deg], [dpsi], [ft/s], ND, [Lbf], [Lbf], [in-Lbf]
,,,,,,,,,,,,,,
1,0.95,2.5,14.3857835,533.97,0.002260799,3.8222E-07,0,-4.070904156,0.012098782,39.2587204,48376.86328,-0.030636001,-0.032963525,-0.065379067
2,0.95,2.5,14.3857835,533.97,0.002260799,3.8222E-07,0,-1.976882941,0.012431569,39.7949791,49037.67188,-0.016904555,-0.018137078,-0.027161914
3,0.95,2.5,14.3857835,533.97,0.002260799,3.8222E-07,0,-0.034004094,0.01249455,39.89565659,49161.73047,-0.008129384,-0.001935783,0.015462885
4,0.95,2.5,14.3857835,533.97,0.002260799,3.8222E-07,0,2.019007386,0.012285646,39.56072998,48749.01563,0.004235234,0.01865546,0.065535029
5,0.95,2.5,14.3857835,533.97,0.002260799,3.8222E-07,0,4.029548883,0.012249826,39.50301743,48677.89844,0.017225707,0.036033538,0.117710145
6,0.95,2.5,14.3857835,533.97,0.002260799,3.8222E-07,0,5.929985043,0.01222348,39.46051407,48625.52344,0.028200813,0.056516587,0.169164946
7,0.95,2.5,14.3857835,533.97,0.002260799,3.8222E-07,0,8.000710545,0.012179054,39.38874054,48537.07813,0.035443606,0.072175489,0.205321722
8,0.95,2.5,14.3857835,533.97,0.002260799,3.8222E-07,0,10.0275877,0.012400816,39.74572754,48976.98047,0.05309144,0.0867924,0.238262035
9,0.95,2.5,14.3857835,533.97,0.002260799,3.8222E-07,0,11.9743014,0.012551274,39.9861145,49273.19922,0.065585659,0.099151602,0.260513927
10,0.95,2.5,14.3857835,533.97,0.002260799,3.8222E-07,0,14.05819642,0.012701125,40.22410583,49566.46484,0.082295698,0.104925186,0.274629423
11,0.95,2.5,14.3857835,533.97,0.002260799,3.8222E-07,0,15.99719947,0.01241636,39.77062988,49007.66406,0.092128305,0.105023835,0.271231814
12,0.95,2.5,14.3857835,533.97,0.002260799,3.8222E-07,0,17.95952553,0.012258218,39.51654816,48694.57031,0.104267805,0.112888287,0.291760801
13,0.95,2.5,14.3857835,533.97,0.002260799,3.8222E-07,0,20.00443059,0.012709944,40.23806763,49583.66797,0.118717727,0.122226965,0.313445982
14,0.95,2.5,14.3857835,533.97,0.002260799,3.8222E-07,0,22.03493789,0.012644533,40.1343956,49455.91797,0.136259372,0.131203458,0.335643397
